actual_rpps_number,old_rpps_number,rpps_cbw_uuid
200413000001693,200413000000723,ef24c6b4-d196-4a76-bde6-31b538ec5056
200413000001715,200413000000749,2fac41d8-659b-44c5-96e5-844d43030768
200413000001142,200413000000114,f8fbce35-ecfb-47d1-89c7-2ef60d455d2c
200413000001823,200413000000874,131f00e4-9164-4ffd-8343-394fb3b7f912
200413000001044,200413000000006,11e359db-c8c2-4ed0-8c21-4909e0c7ad1f
200413000001191,200413000000169,19600395-be94-433b-b2b6-4ed479ed0451
200413000001355,200413000000347,e2706750-286f-4926-ab4d-da82578870b5
200413000001736,200413000000775,f4387c3a-165d-406c-bd45-1eb72cabffd0
200413000001304,200413000000293,fedac141-3fad-490d-bca4-69f605a5b2d8
200413000001507,200413000000518,99b6b10a-3e9f-4d50-a547-fc3cb04865e3
200413000001513,200413000000525,bcd4f2d3-ab0f-4f5f-8bb8-22cd0c04dc13
200413000001119,200413000000088,73e1deb7-7e23-4f3e-ae1c-db8395a77dc8
200413000001798,200413000000844,be9af700-617a-42e5-8de2-73e033825837
200413000001375,200413000000367,0e119616-ae22-4c6b-9bf9-6d8049a8e312
200413000001849,200413000000901,25a05599-72a6-4a26-abfd-b3cbcd0ac6cb
200413000001431,200413000000431,b5023542-9831-4bca-a74a-4fcfe98942b2
200413000001409,200413000000408,7049450e-4774-4bd4-8d6b-7242ded82fc4
200413000001298,200413000000286,a984c156-6173-4487-962f-9377901a8031
200413000001669,200413000000697,468213e7-cdb1-43f0-9c51-a846da09ba58
200413000001610,200413000000630,67e3b847-7f07-4d95-96b1-f5cda1bea254
200413000001397,200413000000393,19227cdc-3965-4f83-8eb6-2482875d2e4a
200413000001389,200413000000383,e3bfb370-2dad-4747-9b4c-2b21650ad409
200413000001208,200413000000183,97de075d-9c6f-4163-a5a6-6f20dad01a67
200413000001187,200413000000164,867826a9-39ca-4959-a0bf-8ec2d6c5a7a0
200413000001635,200413000000662,8e92785d-08f5-462b-9c47-d6f4d5c9c57b
200413000001799,200413000000845,336df9ea-4532-45f3-8d2c-5c7e2ad40fab
200413000001345,200413000000336,6ba5bfea-a07f-4c12-83e6-d569903cdc36
200413000001452,200413000000454,7cf271bf-9955-4830-b44d-6028a57a722d
200413000001390,200413000000385,1475b41f-4a2e-4b42-b425-9a8fe2c78396
200413000001836,200413000000889,21324da9-2c5c-4cce-a53c-2b6cff48e601
